id,id_tiempo,id_territorio,id_tipo_delito,coneguts,resolts,detencions
198,13,9,26,3,3,2
199,13,9,10,8,8,5
200,13,9,44,1,1,0
201,13,9,39,1,1,0
202,13,9,30,5,5,0
203,13,9,31,15,15,0
204,13,9,33,2,2,0
205,13,9,14,2,3,8
206,13,9,15,110,11,0
207,13,9,35,2,2,0
208,13,9,16,31,25,0
209,13,10,1,3,2,1
210,13,10,2,2,3,1
211,13,10,17,42,41,19
212,13,10,50,1,1,0
213,13,10,18,5,5,2
214,13,10,19,3,4,0
215,13,10,3,38,4,1
216,13,10,4,13,5,0
217,13,10,20,78,13,14
218,13,10,48,7,3,0
219,13,10,49,0,1,0
220,13,10,21,126,33,26
221,13,10,22,85,4,4
222,13,10,23,62,10,13
223,13,10,24,37,19,2
224,13,10,51,2,2,0
225,13,10,5,1,1,0
226,13,10,36,0,1,0
227,13,10,25,1,1,0
228,13,10,6,4,4,0
229,13,10,26,9,9,7
230,13,10,38,3,2,3
231,13,10,9,3,0,0
232,13,10,27,1,1,1
233,13,10,10,5,6,4
234,13,10,44,1,1,0
235,13,10,28,1,2,0
236,13,10,29,1,1,1
237,13,10,13,1,0,0
238,13,10,39,2,2,2
239,13,10,30,37,37,2
240,13,10,31,26,24,0
241,13,10,32,4,5,1
242,13,10,33,8,8,0
243,13,10,14,1,2,1
244,13,10,45,2,2,4
245,13,10,15,417,74,8
246,13,10,34,3,0,0
247,13,10,35,10,8,0
248,13,10,16,58,45,0
249,13,11,41,0,1,0
250,13,11,1,3,1,0
251,13,11,2,3,0,0
252,13,11,17,7,7,5
253,13,11,18,1,1,1
254,13,11,19,0,1,0
255,13,11,3,23,3,1
256,13,11,4,2,4,0
257,13,11,20,59,9,10
258,13,11,48,5,5,0
259,13,11,49,1,1,1
260,13,11,21,75,14,17
261,13,11,22,99,2,1
262,13,11,23,19,7,3
263,13,11,24,21,11,1
264,13,11,5,3,3,0
265,13,11,6,3,3,1
266,13,11,52,1,1,0
267,13,11,26,7,7,6
268,13,11,10,4,4,2
269,13,11,28,0,0,1
270,13,11,29,2,2,1
271,13,11,39,1,1,0
272,13,11,30,27,29,2
273,13,11,31,26,26,11
274,13,11,32,3,3,3
275,13,11,40,0,1,0
276,13,11,33,4,4,0
277,13,11,14,2,2,3
278,13,11,15,135,14,0
279,13,11,34,2,1,0
280,13,11,35,2,2,0
281,13,11,16,42,38,0
282,13,12,17,5,3,2
283,13,12,19,2,2,0
284,13,12,3,14,4,0
285,13,12,4,3,1,0
286,13,12,20,19,5,1
287,13,12,49,2,0,0
288,13,12,21,77,6,5
289,13,12,22,10,3,0
290,13,12,23,2,0,1
291,13,12,24,6,5,0
292,13,12,43,1,1,0
293,13,12,5,1,2,0
294,13,12,6,2,2,0
295,13,12,26,4,4,3
296,13,12,27,1,1,1
297,13,12,10,2,3,0
298,13,12,30,5,5,0
299,13,12,31,8,9,1
300,13,12,32,1,1,1
301,13,12,33,2,1,0
302,13,12,14,1,1,2
303,13,12,53,0,1,0
304,13,12,15,95,14,0
305,13,12,35,2,2,0
306,13,12,16,18,16,0
307,13,13,54,0,0,2
308,13,13,17,10,9,6
309,13,13,18,1,1,0
310,13,13,3,13,2,0
311,13,13,4,4,3,1
312,13,13,20,22,3,8
313,13,13,49,1,1,0
314,13,13,21,91,11,10
315,13,13,22,27,2,1
316,13,13,23,5,1,2
317,13,13,24,5,3,0
318,13,13,6,4,4,1
319,13,13,26,3,3,2
320,13,13,10,13,13,4
321,13,13,44,4,5,0
322,13,13,28,1,1,1
323,13,13,29,1,1,0
324,13,13,39,3,3,0
325,13,13,30,10,10,0
326,13,13,31,4,4,0
327,13,13,32,1,1,1
328,13,13,33,5,5,0
329,13,13,15,90,11,1
330,13,13,35,1,1,0
331,13,13,16,38,40,0
332,13,14,54,0,1,0
333,13,14,17,12,13,3
334,13,14,3,10,1,1
335,13,14,47,1,1,0
336,13,14,4,3,1,1
337,13,14,20,29,2,2
338,13,14,48,1,1,0
339,13,14,21,74,8,9
340,13,14,22,14,1,1
341,13,14,23,6,0,0
342,13,14,24,2,3,0
343,13,14,26,5,5,1
344,13,14,10,0,1,0
345,13,14,44,1,1,0
346,13,14,30,3,3,0
347,13,14,31,7,9,0
348,13,14,32,1,2,1
349,13,14,33,1,0,0
350,13,14,14,1,2,1
351,13,14,15,80,10,0
352,13,14,35,2,2,0
353,13,14,16,16,16,0
354,13,15,46,1,0,0
355,13,15,17,6,5,1
356,13,15,19,1,0,0
357,13,15,3,7,2,0
358,13,15,4,2,0,0
359,13,15,20,10,1,0
360,13,15,48,1,1,0
361,13,15,21,28,2,2
362,13,15,22,11,0,0
363,13,15,23,2,1,1
364,13,15,24,1,1,0
365,13,15,36,1,1,0
366,13,15,26,3,3,4
367,13,15,10,2,2,0
368,13,15,29,1,2,1
369,13,15,39,1,1,0
370,13,15,30,5,5,0
371,13,15,31,6,6,0
372,13,15,55,1,1,0
373,13,15,33,2,2,0
374,13,15,15,41,7,0
375,13,15,35,1,1,0
376,13,15,16,15,11,0
377,13,16,17,3,3,2
378,13,16,20,1,1,0
379,13,16,21,5,2,3
380,13,16,23,0,1,1
381,13,16,26,1,1,1
382,13,16,29,1,1,0
383,13,16,39,0,0,1
384,13,16,31,3,3,0
385,13,16,32,1,1,0
386,13,16,14,1,1,2
387,13,16,56,0,1,0
388,13,16,15,13,1,0
389,13,16,34,1,1,0
390,13,16,16,7,6,0
391,13,17,1,1,1,1
392,13,17,2,1,2,0
393,13,17,17,21,18,14
394,13,17,18,1,1,1
395,13,17,19,4,3,0
396,13,17,3,18,2,0
397,13,17,4,7,6,3
398,13,17,20,22,9,0
399,13,17,49,2,2,0
400,13,17,21,60,13,8
401,13,17,22,21,1,0
402,13,17,23,9,0,0
403,13,17,24,7,3,0
404,13,17,5,1,1,0
405,13,17,6,6,5,2
406,13,17,26,2,2,3
407,13,17,57,1,0,8
408,13,17,27,1,1,0
409,13,17,10,8,9,3
410,13,17,44,1,1,0
411,13,17,29,1,1,0
412,13,17,13,1,0,0
413,13,17,39,2,2,0
414,13,17,30,13,14,1
415,13,17,31,15,15,2
416,13,17,32,1,1,1
417,13,17,33,5,5,0
418,13,17,14,3,3,5
419,13,17,15,128,15,1
420,13,17,35,4,4,0
421,13,17,16,28,27,2
422,13,18,2,1,0,0
423,13,18,17,12,10,0
424,13,18,18,3,3,0
425,13,18,19,2,2,0
426,13,18,3,14,1,0
427,13,18,4,1,0,0
428,13,18,20,27,4,0
429,13,18,48,1,1,0
430,13,18,21,108,9,1
431,13,18,22,28,0,0
432,13,18,23,4,1,1
433,13,18,24,6,2,0
434,13,18,43,1,1,0
435,13,18,6,3,3,0
436,13,18,27,1,1,0
437,13,18,10,2,2,1
438,13,18,44,1,1,0
439,13,18,29,2,2,0
440,13,18,30,4,4,0
441,13,18,31,10,11,1
442,13,18,32,2,2,2
443,13,18,33,1,1,0
444,13,18,58,1,0,0
445,13,18,45,1,1,0
446,13,18,15,86,7,0
447,13,18,34,3,2,0
448,13,18,16,25,24,0
449,13,19,59,0,1,0
450,13,19,41,0,0,1
451,13,19,1,3,1,1
452,13,19,2,3,2,3
453,13,19,42,3,2,0
454,13,19,17,33,28,26
455,13,19,18,17,16,11
456,13,19,19,6,6,4
457,13,19,3,54,13,0
458,13,19,47,1,1,0
459,13,19,4,28,3,3
460,13,19,60,1,1,0
461,13,19,20,148,29,20
462,13,19,48,9,9,10
463,13,19,49,3,2,2
464,13,19,21,113,15,21
465,13,19,22,159,6,6
466,13,19,23,154,27,20
467,13,19,24,51,37,3
468,13,19,61,1,1,0
469,13,19,43,4,4,2
470,13,19,5,3,3,1
471,13,19,36,1,1,0
472,13,19,6,13,13,8
473,13,19,26,8,7,4
474,13,19,38,1,1,1
475,13,19,57,0,0,1
476,13,19,9,3,0,0
477,13,19,27,0,0,1
478,13,19,10,20,20,7
479,13,19,44,1,1,0
480,13,19,28,2,1,0
481,13,19,29,3,3,3
482,13,19,13,1,0,0
483,13,19,39,3,2,2
484,13,19,30,24,24,1
485,13,19,31,6,6,4
486,13,19,32,1,1,1
487,13,19,55,1,1,0
488,13,19,33,1,1,0
489,13,19,14,3,2,5
490,13,19,15,694,154,16
