Codi_districte,Coordenada_UTM_X_ED50,Nk_Any,Causa conductor,Nom_districte,Descripcio_torn,Coordenada_UTM_Y_ED50,Codi_carrer,Nom_carrer,Dia_mes,Nom_mes,Nom_barri,Hora_dia,Número_expedient,Latitud_WGS84,Codi_barri,Mes_any,_id,Num_postal,Longitud_WGS84,Descripcio_dia_setmana
1,431320.519,2025,No respectar distàncies,Ciutat Vella,Tarda,4580791.563,701265,Litoral (Besòs),28,Març,el Raval,17,2025S001723,41.37386495,1,3,32,K110,2.17759403,Divendres
1,430765.841,2025,No determinada,Ciutat Vella,Tarda,4581175.518,308301,Sant Oleguer,2,Abril,el Raval,21,2025S001832,41.37727558,1,4,33,10,2.17091787,Dimecres
1,430483.305,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4581638.697,254803,Peu de la Creu,8,Abril,el Raval,12,2025S001964,41.38142292,1,4,34,11-17,2.16748626,Dimarts
1,431173.928,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4581147.874,269200,Portal de Santa Madrona,10,Abril,el Raval,11,2025S001977,41.37706162,1,4,35,2,2.17580076,Dijous
1,430903.662,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4580920.141,198804,Paral·lel,11,Abril,el Raval,11,2025S002009,41.37498732,1,4,36,38,2.17259501,Divendres
1,431292.130,2025,Manca d'atenció a la conducció,Ciutat Vella,Tarda,4580896.397,700025,Josep Carner,17,Abril,el Raval,19,2025S002125,41.37480675,1,4,37,27,2.17724269,Dijous
1,430251.510,2025,Gir indegut o sense precaució,Ciutat Vella,Nit,4582138.134,349207,Universitat,19,Abril,el Raval,22,2025S002158,41.38590112,1,4,38,,2.16465685,Dissabte
1,430772.423,2025,Fallada mecànica o avaria,Ciutat Vella,Nit,4581038.755,86902,Nou de la Rambla,22,Abril,el Raval,1,2025S002173,41.37604436,1,4,39,88,2.17101221,Dimarts
1,431100.341,2025,Avançament defectuós/improcedent,Ciutat Vella,Tarda,4581054.770,140203,Drassanes,26,Abril,el Raval,14,2025S002273,41.37621675,1,4,40,3,2.17493142,Dissabte
1,430495.953,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4581836.827,216906,Montalegre,30,Abril,el Raval,13,2025S002341,41.38320851,1,4,41,2,2.16761477,Dimecres
1,430959.090,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4581210.202,116800,Est,29,Abril,el Raval,12,2025S002342,41.37760458,1,4,42,3,2.17322471,Dimarts
1,431139.289,2025,Manca d'atenció a la conducció,Ciutat Vella,Nit,4581105.966,269200,Portal de Santa Madrona,3,Maig,el Raval,23,2025S002415,41.37668120,1,5,43,10,2.17539133,Dissabte
1,431264.960,2025,Manca d'atenció a la conducció,Ciutat Vella,Nit,4580708.897,701498,B-10 (Besòs),9,Maig,el Raval,1,2025S002546,41.37311566,1,5,44,K111,2.17693909,Divendres
1,430704.448,2025,Manca d'atenció a la conducció,Ciutat Vella,Nit,4581518.407,157909,Hospital,22,Maig,el Raval,3,2025S002843,41.38035859,1,5,45,,2.17014453,Dijous
1,430628.177,2025,No determinada,Ciutat Vella,Tarda,4581297.033,701367,Raval,23,Maig,el Raval,20,2025S002892,41.37835816,1,5,46,14,2.16925782,Divendres
1,430783.340,2025,No determinada,Ciutat Vella,Tarda,4580931.820,198804,Paral·lel,27,Maig,el Raval,17,2025S002952,41.37508217,1,5,47,52,2.17115496,Dimarts
1,430873.453,2025,No respectar distàncies,Ciutat Vella,Matí,4581116.521,140203,Drassanes,27,Maig,el Raval,13,2025S002958,41.37675346,1,5,48,29,2.17221138,Dimarts
1,430686.858,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4580920.057,86902,Nou de la Rambla,31,Maig,el Raval,11,2025S003058,41.37496791,1,5,49,,2.17000266,Dissabte
1,431144.574,2025,No determinada,Ciutat Vella,Tarda,4581298.498,34308,Rambla,30,Maig,el Raval,16,2025S003063,41.37841573,1,5,50,25,2.17543263,Divendres
1,430335.339,2025,No determinada,Ciutat Vella,Matí,4582042.400,150207,Gravina,6,Juny,el Raval,7,2025S003212,41.38504615,1,6,51,,2.16567039,Divendres
1,431066.054,2025,,Ciutat Vella,Matí,4581406.892,86902,Nou de la Rambla,11,Juny,el Raval,10,2025S003368,41.37938528,1,6,52,2,2.17448137,Dimecres
1,430290.582,2025,No respectar distàncies,Ciutat Vella,Nit,4581412.739,296600,Sant Antoni Abat,12,Juny,el Raval,2,2025S003370,41.37937110,1,6,53,10-12,2.16520762,Dijous
1,431058.409,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4581427.909,34308,Rambla,13,Juny,el Raval,11,2025S003401,41.37957392,1,6,54,43,2.17438756,Divendres
1,431113.444,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4581084.290,140203,Drassanes,17,Juny,el Raval,11,2025S003540,41.37648376,1,6,55,6-8,2.17508475,Dimarts
1,430657.453,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4582078.133,250904,Pelai,20,Juny,el Raval,8,2025S003587,41.38539582,1,6,56,60,2.16951846,Divendres
1,430657.453,2025,No respectar distàncies,Ciutat Vella,Matí,4582078.133,250904,Pelai,20,Juny,el Raval,8,2025S003587,41.38539582,1,6,57,60,2.16951846,Divendres
1,431292.130,2025,No determinada,Ciutat Vella,Matí,4580896.397,700025,Josep Carner,24,Juny,el Raval,10,2025S003637,41.37480675,1,6,58,27,2.17724269,Dimarts
1,430577.892,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4581354.565,701367,Raval,25,Juny,el Raval,11,2025S003654,41.37887200,1,6,59,6,2.16864993,Dimecres
1,430818.359,2025,Manca precaució efectuar marxa enrera,Ciutat Vella,Matí,4581230.955,198258,Marquès de Barberà,27,Juny,el Raval,11,2025S003704,41.37777940,1,6,60,20-22,2.17153953,Divendres
1,430860.318,2025,Manca d'atenció a la conducció,Ciutat Vella,Nit,4581140.329,140203,Drassanes,28,Juny,el Raval,4,2025S003731,41.37696676,1,6,61,,2.17205161,Dissabte
1,431258.873,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4580951.930,269108,Portal de la Pau,28,Juny,el Raval,10,2025S003732,41.37530407,1,6,62,1,2.17683873,Dissabte
1,430735.736,2025,No respectat pas de vianants,Ciutat Vella,Matí,4581224.213,308301,Sant Oleguer,30,Juny,el Raval,9,2025S003825,41.37771156,1,6,63,,2.17055232,Dilluns
1,431292.130,2025,Desobeir semàfor,Ciutat Vella,Tarda,4580896.397,700025,Josep Carner,3,Juliol,el Raval,17,2025S003871,41.37480675,1,7,64,27,2.17724269,Dijous
1,431213.914,2025,Avançament defectuós/improcedent,Ciutat Vella,Tarda,4580892.215,701349,Drassanes,3,Juliol,el Raval,18,2025S003872,41.37476239,1,7,65,1,2.17630792,Dijous
1,430506.270,2025,Canvi de carril sense precaució,Ciutat Vella,Nit,4582109.552,250904,Pelai,4,Juliol,el Raval,4,2025S003878,41.38566575,1,7,66,,2.16770684,Divendres
1,430904.235,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4581425.788,308505,Sant Pau,7,Juliol,el Raval,13,2025S003984,41.37954159,1,7,67,17,2.17254419,Dilluns
1,430566.069,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4581003.635,308505,Sant Pau,10,Juliol,el Raval,11,2025S004081,41.37571025,1,7,68,107,2.16854878,Dijous
1,430611.470,2025,No respectat pas de vianants,Ciutat Vella,Nit,4581360.461,701367,Raval,10,Juliol,el Raval,1,2025S004086,41.37892800,1,7,69,,2.16905078,Dijous
1,430251.510,2025,,Ciutat Vella,Nit,4582138.134,349207,Universitat,12,Juliol,el Raval,0,2025S004124,41.38590112,1,7,70,,2.16465685,Dissabte
1,430512.159,2025,Manca precaució efectuar marxa enrera,Ciutat Vella,Nit,4581814.858,16601,Àngels,13,Juliol,el Raval,0,2025S004148,41.38301204,1,7,71,1,2.16781109,Diumenge
1,431090.316,2025,No determinada,Ciutat Vella,Nit,4581379.451,34308,Rambla,16,Juliol,el Raval,2,2025S004206,41.37914021,1,7,72,35,2.17477462,Dimecres
1,430506.270,2025,Desobeir altres senyals,Ciutat Vella,Tarda,4582109.552,250904,Pelai,22,Agost,el Raval,20,2025S004968,41.38566575,1,8,87,,2.16770684,Divendres
1,430626.853,2025,Manca d'atenció a la conducció,Ciutat Vella,Matí,4582082.013,250904,Pelai,17,Juliol,el Raval,11,2025S004244,41.38542814,1,7,73,56,2.16915207,Dijous
